Lactation No,Days,Activity,Rest Time,Rest Per Bout,Restlessness Ratio,SE Activity,SE Rest Time,SE Rest Per Bout,SE Restlessness Ratio,P-Value Activity,P-Value Rest Time,P-Value Rest Per Bout,P-Value Restlessness Ratio
1,-14,223.03,688.92,72.16,2.79,6.46,11.96,1.36,0.11,0,0,0,0
1,-13,194.29,653.65,70.58,2.75,4.15,10.21,1.72,0.11,0.259,0,0,0
1,-12,193.45,647.06,70.97,2.78,3.88,10.17,1.77,0.1,0.238,0,0,0
1,-11,194.71,642.38,68.58,2.78,3.75,9.43,1.97,0.09,0.232,0,0,0
1,-10,195.95,647.6,68.31,2.74,3.82,9.65,2,0.09,0.194,0,0,0
1,-9,191.23,649.6,67.34,2.73,3.57,10.04,1.71,0.14,0.105,0,0,0
1,-8,192.93,648.19,68.96,2.72,3.65,9.03,2,0.09,0.327,0,0,0
1,-7,190.38,644.9,67.62,2.76,3.97,9.53,1.75,0.09,0.093,0,0,0
1,-6,198.52,632.21,66.52,2.97,4.53,10.66,1.62,0.13,0.936,0,0,0.002
1,-5,196.1,643.93,66.34,2.91,4.31,11.29,1.76,0.12,0.47,0,0,0.001
1,-4,201.59,621.52,63.08,3.1,4.87,11.46,1.64,0.15,0.718,0,0,0.007
1,-3,202.09,612.65,63.34,3.24,4.54,12.53,1.93,0.19,0.805,0,0,0.035
1,-2,207.93,610.53,63.93,3.33,4.79,14.5,1.78,0.13,0.221,0,0,0.023
1,-1,225.47,626.97,60.52,3.66,6.33,16.42,1.57,0.26,0.002,0,0.002,0.3
1,0,305.74,621.77,58.65,5.62,6.77,16.99,0.9,0.2,0,0,0.008,0
1,1,340.69,471.56,65.37,7.88,7.8,10.01,1.75,0.52,0,0.007,0,0
1,2,324.98,474.07,65.87,7.3,8.66,9.16,1.61,0.54,0,0,0.002,0
1,3,292.65,504.11,70.64,5.82,7.26,8.54,2.06,0.32,0,0.136,0,0
1,4,261.24,525.81,70.54,4.85,6.08,9.09,1.77,0.24,0,0.603,0,0.001
1,5,235.35,529.49,71.41,4.35,4.94,9.56,1.95,0.19,0,0.734,0,0.054
1,6,219.92,514.82,69.21,4.29,3.99,9.45,2.1,0.17,0.001,0.546,0,0.131
1,7,219.84,511.19,66.28,4.31,4.47,8.54,1.92,0.2,0,0.09,0.002,0.052
1,8,219.55,515.71,65.71,4.28,5.36,9.18,2.27,0.2,0,0.491,0,0.102
1,9,223.7,513.28,65.13,4.32,5.75,9.3,2.26,0.2,0,0.656,0,0.149
1,10,217.79,522.01,63.73,4.05,4.58,8.24,1.79,0.17,0.004,0.749,0.006,0.461
1,11,216.37,522.54,59.66,4.29,4.65,8.63,1.57,0.35,0.003,0.839,0.554,0.065
1,12,205.15,527.36,59.35,4.41,4.61,9.57,1.66,0.5,0.109,0.925,0.836,0.006
1,13,206.04,530.09,60.15,3.91,5,9.71,1.7,0.17,0.227,0.538,0.183,0.793
1,14,195.86,526.94,57.7,3.78,3.78,9.12,1.63,0.15,0.189,0.432,0,0.001
2,-14,206.74,781.39,78.3,1.75,8.12,16.2,3.15,0.16,0.314,0.004,0.033,0.248
2,-13,176.98,746.22,76.49,1.69,6.96,17.19,2.61,0.14,0.968,0.058,0.536,0.223
2,-12,177.18,738.24,77.34,1.74,7.44,15.85,4.51,0.15,0.799,0.003,0.222,0.158
2,-11,178.06,732.04,74.89,1.75,8.6,19.85,3.05,0.15,0.954,0.179,0.822,0.477
2,-10,179,737.54,74.73,1.7,7.73,14.45,2.81,0.1,0.622,0.028,0.581,0.207
2,-9,174.36,739.36,73.74,1.7,6.6,16.13,3.44,0.09,0.866,0.061,0.397,0.156
2,-8,176.18,737.66,75.15,1.7,6.44,16.3,2.68,0.13,0.35,0.006,0.92,0.128
2,-7,174.12,735.05,74.14,1.73,7.87,19.17,2.5,0.13,0.702,0.008,0.479,0.176
2,-6,182.11,724.13,73.02,1.92,7.42,16.3,2.59,0.12,0.558,0.011,0.852,0.129
2,-5,179.72,735.72,72.88,1.87,6.84,18.78,2.8,0.17,0.957,0.007,0.771,0.299
2,-4,185.55,714.17,69.85,2.04,7.27,19.02,2.37,0.13,0.993,0.027,0.243,0.286
2,-3,187.01,705.7,69.96,2.21,8.22,21.42,3.4,0.16,0.478,0.062,0.545,0.681
2,-2,193.63,703.15,71.25,2.31,9.53,22.53,3.37,0.22,0.185,0.15,0.388,0.55
2,-1,209.52,721.22,67.16,2.6,11.29,32.85,3.2,0.21,0,0,0.039,0.315
2,0,296.87,709.48,66.18,4.7,15,38.83,2.14,0.39,0,0,0.013,0
2,1,329.39,563.22,73.61,6.89,18.63,24.04,4.34,0.72,0,0,0.443,0
2,2,313.29,566.71,74.1,6.3,17.45,22.36,4.25,0.39,0,0.002,0.134,0
2,3,279.84,597.53,78.73,4.79,16.5,20.66,4.55,0.38,0,0.161,0.005,0
2,4,249.58,618.88,78.87,3.84,16.47,19.87,4.17,0.31,0,0.111,0.025,0
2,5,223.57,622.67,79.97,3.33,11.1,18.86,4.24,0.22,0,0.799,0.002,0.058
2,6,208.22,607.72,77.84,3.27,10.03,18.47,3.43,0.23,0.001,0.404,0.007,0.047
2,7,208.02,604.06,74.9,3.29,9.05,19.69,4.39,0.23,0.017,0.684,0.005,0.126
2,8,206.66,607.55,73.89,3.24,8.28,19.04,3.81,0.27,0.022,0.211,0.199,0.044
2,9,211.13,604.17,73.42,3.29,13.44,16.98,3.61,0.29,0,0.085,0.411,0.007
2,10,204.98,613.5,71.95,3.01,9.3,16.89,3.84,0.16,0.041,0.418,0.411,0.316
2,11,203.99,614.53,67.73,3.26,9.49,15.16,4.24,0.16,0.058,0.329,0.436,0.338
2,12,192.68,619.54,67.57,3.37,7.99,16.58,3.53,0.15,0.573,0.475,0.949,0.711
2,13,194.18,620.94,68.29,2.88,11.06,14.88,3.65,0.17,0.096,0.325,0.794,0.478
2,14,184.31,617.97,65.73,2.76,8.01,19.02,3.55,0.14,0.189,0,0,0.001
3,-14,203.82,779.57,88.21,1.68,13.6,23.18,4.71,0.24,0.733,0,0.69,0.158
3,-13,173.45,742.47,85.76,1.62,9.46,25.29,4.37,0.18,0.694,0,0.221,0.112
3,-12,172.55,735.09,86.47,1.66,8.86,21.95,4.19,0.14,0.661,0.007,0.505,0.138
3,-11,173.27,731.6,83.85,1.64,10.97,21.72,3.84,0.16,0.924,0.005,0.465,0.12
3,-10,174.03,736.31,83.56,1.59,11.28,21.96,3.93,0.16,0.892,0.003,0.919,0.174
3,-9,169.16,738.18,82.77,1.58,8.3,21.53,3.82,0.1,0.302,0,0.78,0.04
3,-8,170.73,738.38,84.02,1.56,10.02,19.12,8.59,0.1,0.566,0,0.124,0.037
3,-7,168.27,736.48,82.19,1.59,8.22,22.24,4.42,0.12,0.383,0.027,0.886,0.137
3,-6,176.76,723.93,81.83,1.81,11.4,22.13,5.1,0.19,0.878,0.001,0.344,0.146
3,-5,173.47,734.99,81.36,1.74,9.26,18.56,4.55,0.11,0.551,0,0.886,0.041
3,-4,178.97,712.69,78.24,1.92,10.96,18.95,4.74,0.15,0.965,0.005,0.764,0.15
3,-3,179.89,704.09,78.82,2.07,10.57,19.36,3.97,0.11,0.682,0.004,0.538,0.09
3,-2,185.67,700.63,79.62,2.16,8.79,23.47,4.94,0.21,0.614,0.382,0.78,0.387
3,-1,203.04,716.88,76.49,2.49,10.76,32.29,4.71,0.16,0.54,0.075,0.493,0.495
3,0,291.94,705.88,74.55,4.6,15.42,43,2.65,0.43,0,0.053,0.011,0
3,1,322.88,561.99,79.35,6.78,18.1,32.96,6.12,0.74,0,0.025,0.081,0
3,2,307.43,562.93,82.09,6.21,15.82,26.17,7.49,0.5,0,0.344,0.003,0
3,3,274.12,594.2,86.47,4.7,12.83,25.83,6.17,1.05,0,0.659,0.01,0
3,4,242.9,615.73,86.27,3.73,10.34,26.38,7.97,0.25,0,0.428,0,0.168
3,5,217.22,620.88,87.07,3.22,9.03,20.39,8.38,0.18,0.001,0.504,0,0.567
3,6,201.87,605.93,84.94,3.16,7.34,22.29,8.21,0.21,0.011,0.613,0.001,0.258
3,7,201.25,605.83,79.63,3.16,7.5,20.06,6.35,0.15,0.046,0.538,0.003,0.941
3,8,201.39,606.59,81.33,3.15,7.56,22.37,8.11,0.18,0.105,0.812,0.016,0.761
3,9,205.74,603.45,80.96,3.19,13.71,22.06,5.72,0.29,0.007,0.485,0.115,0.175
3,10,199.51,612.13,79.4,2.92,17.47,24.99,5.72,0.29,0.002,0.648,0.091,0.376
3,11,199.14,613.19,75.65,3.18,19.43,24.13,5.84,0.37,0.01,0.653,0.565,0.397
3,12,187.61,617.82,75.27,3.29,13.07,20.77,8.08,0.17,0.371,0.216,0.055,0.623
3,13,189.31,622.04,76.31,2.78,14.42,26.82,5.77,0.35,0.355,0.555,0.266,0.688
3,14,179.47,618.95,74.09,2.67,10.03,25.61,4.15,0.21,0.189,0,0,0.001
